Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50.00,"1,200",600000.00,300000.00,50%,In-store
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,"1,000",500000.00,150000.00,30%,In-store
Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,40.00,"1,000",400000.00,140000.00,35%,In-store
Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,850,382500.00,133875.00,35%,In-store
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,60.00,900,540000.00,162000.00,30%,In-store
Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,50.00,"1,000",500000.00,125000.00,25%,In-store
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,50.00,"1,250",625000.00,312500.00,50%,In-store
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900,450000.00,135000.00,30%,Outlet
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,40.00,950,380000.00,133000.00,35%,Outlet
Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825,371250.00,129938.00,35%,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,60.00,900,540000.00,162000.00,30%,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,50.00,"1,000",500000.00,125000.00,25%,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,50.00,"1,220",610000.00,305000.00,50%,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,925,462500.00,138750.00,30%,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,40.00,950,380000.00,133000.00,35%,Outlet
Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,800,360000.00,126000.00,35%,Outlet
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,60.00,850,510000.00,153000.00,30%,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,50.00,950,475000.00,118750.00,25%,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,50.00,"1,200",600000.00,300000.00,50%,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50.00,900,450000.00,135000.00,30%,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,40.00,900,360000.00,126000.00,35%,Outlet
Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,45.00,825,371250.00,129938.00,35%,Outlet
Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,60.00,825,495000.00,148500.00,30%,Outlet
Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,50.00,950,475000.00,118750.00,25%,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,60.00,"1,220",732000.00,366000.00,50%,Outlet
Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,925,508750.00,152625.00,30%,Outlet
Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,50.00,900,450000.00,157500.00,35%,Outlet
Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,850,425000.00,148750.00,35%,Outlet
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,60.00,875,525000.00,157500.00,30%,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,65.00,"1,000",650000.00,162500.00,25%,Outlet
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,60.00,"1,250",750000.00,375000.00,50%,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,"1,000",550000.00,165000.00,30%,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,50.00,925,462500.00,161875.00,35%,Outlet
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,450000.00,157500.00,35%,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,60.00,900,540000.00,162000.00,30%,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,65.00,"1,050",682500.00,170625.00,25%,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,60.00,"1,275",765000.00,382500.00,50%,Outlet
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,"1,025",563750.00,169125.00,30%,Outlet
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,50.00,950,475000.00,166250.00,35%,Outlet
Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,450000.00,157500.00,35%,Outlet
Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Men's Apparel,60.00,925,555000.00,166500.00,30%,Outlet
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,65.00,"1,100",715000.00,178750.00,25%,Outlet
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,60.00,"1,250",750000.00,375000.00,50%,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,"1,025",563750.00,169125.00,30%,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,50.00,950,475000.00,166250.00,35%,Outlet
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,925,462500.00,161875.00,35%,Outlet
Walmart,1185732,4/17/2020,Northeast,New York,New York,Men's Apparel,60.00,900,540000.00,162000.00,30%,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,65.00,"1,075",698750.00,174688.00,25%,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,60.00,"1,200",720000.00,360000.00,50%,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,"1,000",550000.00,165000.00,30%,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,50.00,925,462500.00,161875.00,35%,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,50.00,900,450000.00,157500.00,35%,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,60.00,900,540000.00,162000.00,30%,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,65.00,"1,000",650000.00,162500.00,25%,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,65.00,875,568750.00,170625.00,30%,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,70.00,"1,000",700000.00,175000.00,25%,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,65.00,"1,150",747500.00,373750.00,50%,Outlet
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,975,536250.00,160875.00,30%,Outlet
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,55.00,920,506000.00,177100.00,35%,Outlet
Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,55.00,900,495000.00,173250.00,35%,Outlet
Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,65.00,875,568750.00,170625.00,30%,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,70.00,975,682500.00,170625.00,25%,Outlet
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,65.00,"1,200",780000.00,390000.00,50%,Outlet
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,55.00,"1,000",550000.00,165000.00,30%,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,55.00,950,522500.00,182875.00,35%,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,55.00,900,495000.00,173250.00,35%,Outlet
Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,65.00,900,585000.00,175500.00,30%,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,70.00,"1,000",700000.00,175000.00,25%,Outlet
Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,25.00,900,225000.00,78750.00,35%,Outlet
Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,35.00,900,315000.00,110250.00,35%,Outlet
Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,35.00,700,245000.00,85750.00,35%,Outlet
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,35.00,700,245000.00,110250.00,45%,Outlet
Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,40.00,550,220000.00,66000.00,30%,Outlet
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,35.00,700,245000.00,122500.00,50%,Outlet
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,25.00,850,212500.00,74375.00,35%,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,35.00,850,297500.00,104125.00,35%,Outlet
Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,35.00,675,236250.00,82688.00,35%,Outlet
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,35.00,625,218750.00,98438.00,45%,Outlet
Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,40.00,500,200000.00,60000.00,30%,Outlet
Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,35.00,700,245000.00,122500.00,50%,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,30.00,875,262500.00,91875.00,35%,Outlet
Sports Direct,1197831,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,40.00,875,350000.00,122500.00,35%,Outlet
Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,35.00,700,245000.00,85750.00,35%,Outlet
Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,600,240000.00,108000.00,45%,Outlet
Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,45.00,500,225000.00,67500.00,30%,Outlet
Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,40.00,650,260000.00,130000.00,50%,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,30.00,900,270000.00,94500.00,35%,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,40.00,900,360000.00,126000.00,35%,Outlet
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,35.00,725,253750.00,88813.00,35%,Outlet
Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,625,250000.00,112500.00,45%,Outlet
Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,45.00,525,236250.00,70875.00,30%,Outlet
Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,40.00,800,320000.00,160000.00,50%,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,30.00,925,277500.00,97125.00,35%,Outlet
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,40.00,925,370000.00,129500.00,35%,Outlet
Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,35.00,775,271250.00,94938.00,35%,Outlet
Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,700,280000.00,126000.00,45%,Outlet
Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,45.00,600,270000.00,81000.00,30%,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,40.00,950,380000.00,190000.00,50%,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,40.00,950,380000.00,133000.00,35%,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950,427500.00,149625.00,35%,Outlet
Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,40.00,800,320000.00,112000.00,35%,Outlet
Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,750,300000.00,135000.00,45%,Outlet
Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,45.00,650,292500.00,87750.00,30%,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,50.00,"1,000",500000.00,250000.00,50%,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,40.00,950,380000.00,133000.00,35%,Outlet
Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950,427500.00,149625.00,35%,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,40.00,"1,100",440000.00,154000.00,35%,Outlet
Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,700,280000.00,126000.00,45%,Outlet
Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,45.00,700,315000.00,94500.00,30%,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,50.00,975,487500.00,243750.00,50%,Outlet
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,40.00,925,370000.00,129500.00,35%,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,925,416250.00,145688.00,35%,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,40.00,"1,100",440000.00,154000.00,35%,Outlet
Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,40.00,650,260000.00,117000.00,45%,Outlet
Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,45.00,650,292500.00,87750.00,30%,Outlet
Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,50.00,900,450000.00,225000.00,50%,Outlet
Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,45.00,850,382500.00,133875.00,35%,Outlet
Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,850,382500.00,133875.00,35%,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,50.00,900,450000.00,157500.00,35%,Outlet
Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,625,312500.00,140625.00,45%,Outlet
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,45.00,625,281250.00,84375.00,30%,Outlet
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,55.00,850,467500.00,233750.00,50%,Outlet
Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,45.00,800,360000.00,126000.00,35%,Outlet
Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,800,360000.00,126000.00,35%,Outlet
Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,50.00,750,375000.00,131250.00,35%,Outlet
Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,600,300000.00,135000.00,45%,Outlet
Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,45.00,575,258750.00,77625.00,30%,Outlet
Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,55.00,750,412500.00,206250.00,50%,Outlet
Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,45.00,900,405000.00,141750.00,35%,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,900,405000.00,141750.00,35%,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,50.00,825,412500.00,144375.00,35%,Outlet
Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,675,337500.00,151875.00,45%,Outlet
Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,45.00,650,292500.00,87750.00,30%,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,55.00,850,467500.00,233750.00,50%,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,45.00,950,427500.00,149625.00,35%,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,45.00,950,427500.00,149625.00,35%,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,50.00,850,425000.00,148750.00,35%,Outlet
Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,50.00,700,350000.00,157500.00,45%,Outlet
Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,45.00,650,292500.00,87750.00,30%,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,55.00,900,495000.00,247500.00,50%,Outlet
